customerCode,customerName,customerNotes
ECK4114,Eckersleys Underwood,
ECK4575,Eckersleys Minyama,
ECKE2022,Eckersley's Bondi Junction,
ECKE2617,Eckersley’s Art and Craft / Belconnen,
ECKE8,ECKERSLEY'S PTY LTD,
ECKE8-3122-001,Eckersleys Hawthorn,
EDDE2,Enganalysis Pty Ltd,
EDWA6,Electrical Distributors Of Wa,
EEGR2,Elite Electrical Group,
EEMA5,Entech Electronics Pty Ltd,
EGSC8,East Gippsland Shire Council,
EIPD2,Eip Diesel Pty Ltd,30% Discount
ELCON,Elcon Inc.,
ELDI6,Electrical Distributors Of W A,
ELESOL,Electrocom Solutions Pty Ltd,
ELTEK8,Electek,
ELVS5,ELV Services,
EMES4,Emesent.IO,
EMTI3,Emtivac,
ENER4,Eneraque Pty Ltd,
ENFLX4,Enerflex Service,No Discount
ENFLX4U,Enerflex Service,No Discount
ENIN0,Energy Industrial,
ENIQ4,Eniquest Independent Power Innovations,35% Disc. AXS173186 all other solenoids are list
ENRA6,Ensco Rail Automation,
ENSE0,Entec Services Ltd,
ENSS2,Engine Supplies And Services Pty Ltd,
EPEQ6,Engine Protection Equipment,35% Discount
EPGE2,EPG Engines,
EPGS8,EPG Solutions,
EQSO2,Equipment Solutions Pty Ltd,
ERCE4,ERSCON Consulting Engineers,
ERGEL,ERG Electrics,
ERHR4,Electro Rig Hoist Rentals,
ESCE2,Eastgate Shopping Centre,
ESCE2A,Crown Eastlakes Joint Venture,
ESCO8,Eurobodalla Shire Council,
ESCO8A,Eurobodalla Regional Botanic Gardens,
ESIS2,Esis Pty Ltd,
ESMA8,eSMART Pty Ltd,
ESSE3,ESS Earth Sciences Pty Ltd (Atf Es&S Unit Trust),10 % Trade discount
ETSE4,Eastern Tree Services,
EVER2A,Evertone Pty Ltd,
EXCE2,Excell Control,
EXEL3,Harris C4I Pty Ltd,
EXPA4,Expac (Qld) Pty Ltd,
EXTE3U,Extel Technologies Pty Ltd,
FAH08-2033-001,Fantastic Furniture Moore Park,
FAHO8,Fantastic Furniture,
FAHO8-0820-001,Fantastic Furniture Darwin,
FAHO8-2015-001,Fantastic Furniture Alexandria,
FAHO8-2170,Fantastic Furniture Warwick Farm,
FAHO8-2190-001,Fantastic Furniture Chullora,
FAHO8-2444-001,Fantastic Furniture Port Macquarie,
FAHO8-2800,Fantastic Furniture Orange,
FAHO8-2830,Fantastic Furniture Dubbo,
FAHO8-3032,Fantastic Furniture Maribyrnong,
FAHO8-3116,Fantastic Furniture Chirnside Park,
FAHO8-3131,Fantastic Furniture Nunawading,
FAHO8-3189,Fantastic Furniture Moorabbin,
